,0
0,622
1,608
2,221
3,59
4,0
5,0
6,0
7,13
8,288
9,435
10,267
11,266
12,353
13,414
14,481
15,487
16,485
17,400
18,499
19,590
20,432
21,312
22,306
23,336
24,305
25,291
26,375
27,437
28,461
29,536
30,500
31,275
32,272
33,320
34,352
35,352
36,378
37,432
38,437
39,425
40,563
41,602
42,614
43,619
44,622
45,622
46,532
47,555
48,448
49,352
50,326
51,93
52,16
53,0
54,0
55,0
56,0
57,149
58,282
59,372
60,464
61,575
62,391
63,349
64,402
65,388
66,391
67,451
68,455
69,464
70,479
71,566
72,451
73,300
74,294
75,293
76,279
77,315
78,433
79,423
80,448
81,497
82,547
83,327
84,271
85,295
86,310
87,291
88,368
89,371
90,351
91,316
92,507
93,288
94,128
95,163
96,281
97,296
98,400
99,474
100,518
101,474
102,528
103,552
104,334
105,276
106,303
107,326
108,382
109,384
110,366
111,357
112,416
113,560
114,384
115,326
116,359
117,359
118,339
119,390
120,397
121,390
122,378
123,465
124,416
125,201
126,176
127,234
128,310
129,368
130,378
131,384
132,402
133,419
134,569
135,336
136,241
137,250
138,276
139,362
140,414
141,418
142,437
143,475
144,560
145,481
146,293
147,241
148,227
149,338
150,431
151,426
152,391
153,359
154,402
155,555
156,325
157,274
158,304
159,346
160,368
161,391
162,389
163,393
164,412
165,537
166,592
167,610
168,621
169,620
170,621
171,608
172,519
173,398
174,272
175,227
176,92
177,15
178,0
179,0
180,0
181,0
182,54
183,206
184,347
185,400
186,549
187,432
188,342
189,316
190,418
191,439
192,435
193,450
194,475
195,464
196,508
197,531
198,327
199,245
200,315
201,384
202,406
203,418
204,431
205,458
206,428
207,563
208,352
209,243
210,278
211,348
212,375
213,384
214,377
215,374
216,398
217,503
218,473
219,244
220,245
221,317
222,337
223,351
224,384
225,387
226,390
227,416
228,561
229,315
230,203
231,271
232,320
233,342
234,371
235,400
236,386
237,374
238,506
239,442
240,208
241,227
242,325
243,372
244,386
245,411
246,403
247,398
248,443
249,560
250,310
251,249
252,312
253,361
254,368
255,369
256,385
257,395
258,403
259,529
260,415
261,209
262,272
263,361
264,384
265,395
266,405
267,422
268,400
269,440
270,564
271,603
272,616
273,621
274,621
275,623
276,574
277,464
278,380
279,282
280,197
281,48
282,0
283,0
284,0
285,0
286,32
287,200
288,306
289,430
290,528
291,556
292,363
293,323
294,343
295,425
296,464
297,460
298,465
299,482
300,470
301,571
302,602
303,613
304,619
305,618
306,623
307,577
308,481
309,384
310,289
311,255
312,79
313,9
314,0
315,0
316,0
317,7
318,163
319,284
320,383
321,432
322,569
323,423
324,367
325,375
326,441
327,480
328,465
329,448
330,466
331,455
332,541
333,455
334,286
335,268
336,304
337,352
338,368
339,390
340,400
341,426
342,449
343,572
344,601
345,613
346,618
347,621
348,624
349,592
350,448
351,355
352,320
353,230
354,55
355,2
356,0
357,0
358,0
359,7
360,139
361,274
362,368
363,445
364,559
365,389
366,349
367,411
368,432
369,441
370,490
371,499
372,473
373,427
374,549
375,423
376,291
377,317
378,319
379,356
380,397
381,428
382,385
383,357
384,417
385,502
386,296
387,261
388,304
389,336
390,381
391,400
392,417
393,400
394,349
395,537
396,384
397,277
398,312
399,324
400,365
401,380
402,400
403,375
404,327
405,460
406,479
407,272
408,250
409,311
410,340
411,381
412,412
413,426
414,379
415,395
416,560
417,361
418,274
419,305
420,347
421,354
422,350
423,371
424,374
425,375
426,511
427,444
428,271
429,256
430,285
431,336
432,387
433,394
434,403
435,372
436,436
437,559
438,311
439,242
440,286
441,336
442,357
443,353
444,385
445,362
446,400
447,528
448,407
449,254
450,249
451,306
452,353
453,386
454,383
455,320
456,393
457,464
458,576
459,605
460,615
461,621
462,620
463,621
464,555
465,435
466,375
467,335
468,239
469,60
470,0
471,0
472,0
473,0
474,10
475,175
476,255
477,358
478,490
479,555
480,368
481,336
482,339
483,397
484,433
485,445
486,423
487,474
488,463
489,571
490,409
491,314
492,323
493,368
494,384
495,405
496,400
497,432
498,423
499,499
500,491
501,281
502,272
503,305
504,336
505,363
506,346
507,354
508,413
509,440
510,571
511,274
512,203
513,305
514,378
515,401
516,437
517,432
518,431
519,437
520,532
521,467
522,243
523,237
524,290
525,312
526,350
527,304
528,304
529,370
530,400
531,550
532,326
533,274
534,282
535,315
536,380
537,384
538,385
539,362
540,390
541,529
542,433
543,261
544,262
545,321
546,367
547,327
548,380
549,386
550,407
551,465
552,563
553,286
554,219
555,293
556,318
557,336
558,339
559,411
560,439
561,448
562,560
563,369
564,258
565,295
566,328
567,371
568,323
569,390
570,432
571,416
572,481
573,526
574,303
575,240
576,252
577,320
578,252
579,336
580,416
581,448
582,424
583,560
584,374
585,227
586,271
587,331
588,331
589,382
590,442
591,420
592,403
593,495
594,482
595,269
596,272
597,277
598,313
599,279
600,288
601,400
602,441
603,448
604,570
605,336
606,251
607,288
608,322
609,319
610,407
611,400
612,393
613,441
614,533
615,465
616,296
617,258
618,294
619,317
620,367
621,392
622,408
623,400
624,390
625,544
626,273
627,200
628,258
629,260
630,308
631,368
632,430
633,423
634,427
635,544
636,418
637,272
638,301
639,309
640,327
641,401
642,410
643,405
644,390
645,451
646,543
647,272
648,224
649,249
650,240
651,366
652,409
653,400
654,421
655,400
656,541
657,398
658,256
659,235
660,240
661,369
662,411
663,421
664,432
665,405
666,467
667,521
668,275
669,234
670,235
671,329
672,384
673,393
674,384
675,407
676,420
677,560
678,350
679,240
680,277
681,225
682,380
683,420
684,400
685,424
686,463
687,511
688,497
689,275
690,240
691,256
692,348
693,365
694,386
695,407
696,399
697,376
698,554
699,333
700,249
701,222
702,342
703,438
704,432
705,410
706,405
707,400
708,507
709,449
710,274
711,229
712,298
713,370
714,399
715,405
716,403
717,384
718,359
719,528
720,293
721,177
722,224
723,348
724,390
725,384
726,400
727,404
728,395
729,523
730,423
731,243
732,211
733,308
734,401
735,437
736,460
737,421
738,405
739,465
740,576
741,606
742,615
743,616
744,619
745,624
746,560
747,432
748,351
749,304
750,218
751,55
752,0
753,0
754,0
755,0
756,0
757,169
758,350
759,431
760,503
761,554
762,351
763,341
764,400
765,436
766,426
767,362
768,439
769,478
770,469
771,571
772,602
773,611
774,623
775,621
776,621
777,621
778,545
779,433
780,353
781,298
782,272
783,184
784,267
785,259
786,205
787,243
788,245
789,272
790,333
791,322
792,195
793,48
794,0
795,0
796,0
797,2
798,195
799,375
800,455
801,497
802,560
803,496
804,346
805,400
806,482
807,542
808,559
809,545
810,498
811,481
812,494
813,577
814,243
815,311
816,357
817,390
818,388
819,384
820,413
821,464
822,458
823,539
824,487
825,167
826,193
827,304
828,333
829,332
830,375
831,427
832,417
833,466
834,578
835,288
836,191
837,240
838,318
839,365
840,407
841,421
842,405
843,403
844,542
845,379
846,280
847,298
848,304
849,335
850,374
851,399
852,400
853,391
854,468
855,525
856,288
857,239
858,282
859,355
860,366
861,367
862,379
863,400
864,385
865,544
866,369
867,224
868,245
869,319
870,372
871,362
872,372
873,400
874,397
875,450
876,544
877,272
878,211
879,305
880,361
881,368
882,389
883,407
884,417
885,387
886,554
887,308
888,240
889,288
890,307
891,354
892,368
893,385
894,406
895,350
896,481
897,433
898,297
899,274
900,311
901,352
902,383
903,427
904,432
905,414
906,403
907,542
908,313
909,240
910,320
911,336
912,214
913,345
914,422
915,416
916,355
917,529
918,455
919,327
920,351
921,369
922,377
923,386
924,371
925,376
926,336
927,448
928,525
929,293
930,250
931,296
932,320
933,353
934,382
935,400
936,353
937,342
938,528
939,321
940,234
941,257
942,306
943,368
944,390
945,379
946,391
947,351
948,487
949,494
950,317
951,297
952,321
953,353
954,365
955,400
956,410
957,349
958,401
959,561
960,341
